model_name,train_rmse,test_rmse,train_r2,test_r2,train_mae,test_mae
Random Forest (with categorical features),1659.0125069717226,4711.446487348321,0.9844554105156507,0.8764706139448836,762.3776192324568,2046.2664766091366
Gradient Boosting (with categorical features),5927.593457524007,6231.37061853872,0.8015565553218545,0.7839128597860903,3628.1195637844435,3654.7614035488978
